activity_id,activity_type,activity_date,status,subject,notes_summary,next_action,next_action_date,sentiment
ACT00100,MEETING,2026-06-24,COMPLETED,Quarterly Portfolio Review,Met with the household to walk through quarterly Portfolio Review. Reviewed allocation versus plan targets and agreed on next steps.,Send meeting recap,2026-07-08,POSITIVE
ACT00101,CALL,2026-06-11,COMPLETED,Tax-Loss Harvesting Discussion,Spoke with the client regarding tax-Loss Harvesting Discussion. Addressed outstanding questions and confirmed follow-up items.,Schedule follow-up call,2026-07-09,NEUTRAL
ACT00102,EMAIL,2026-05-29,COMPLETED,Proposal Documents Sent,Delivered materials for proposal Documents Sent. Flagged key figures and invited questions before the next review.,Send meeting recap,2026-07-10,POSITIVE
ACT00103,REVIEW,2026-05-16,COMPLETED,Financial Plan Progress Review,Completed financial Plan Progress Review. Documented findings and updated the client file with current risk and objectives.,Send requested documents,2026-07-11,NEUTRAL
ACT00104,FOLLOW_UP,2026-05-03,OPEN,Beneficiary Update Follow-Up,Followed up on beneficiary Update Follow-Up. Confirmed remaining paperwork and owners for each open item.,Send requested documents,2026-07-12,NEGATIVE
ACT00200,MEETING,2026-06-17,COMPLETED,Retirement Planning Session,Met with the household to walk through retirement Planning Session. Reviewed allocation versus plan targets and agreed on next steps.,Send meeting recap,2026-07-08,POSITIVE
ACT00201,CALL,2026-06-04,COMPLETED,Tax-Loss Harvesting Discussion,Spoke with the client regarding tax-Loss Harvesting Discussion. Addressed outstanding questions and confirmed follow-up items.,Send requested documents,2026-07-09,NEUTRAL
ACT00202,EMAIL,2026-05-22,COMPLETED,Proposal Documents Sent,Delivered materials for proposal Documents Sent. Flagged key figures and invited questions before the next review.,Book next review,2026-07-10,POSITIVE
ACT00203,REVIEW,2026-05-09,COMPLETED,Concentration Risk Review,Completed concentration Risk Review. Documented findings and updated the client file with current risk and objectives.,Book next review,2026-07-11,NEUTRAL
ACT00204,FOLLOW_UP,2026-04-26,OPEN,Funding Confirmation Follow-Up,Followed up on funding Confirmation Follow-Up. Confirmed remaining paperwork and owners for each open item.,Update financial plan,2026-07-12,NEGATIVE
