coaching_session_id,session_date,coach_persona,coach_user_id,coaching_summary,action_plan,status,advisor_id
COACH000001,2023-03-11 00:00:00,MDW,USR_MDW_010101,Prioritize AGP off-track goals.,Target 3 high-cash households.,Completed,ADV0001
COACH000002,2024-07-09 00:00:00,MDW,USR_MDW_010101,Improve review meeting cadence.,Schedule 5 client reviews.,Completed,ADV0001
COACH000003,2024-04-06 00:00:00,DDW,USR_MDW_010101,Increase prospecting follow-ups.,Review managed revenue gaps.,Completed,ADV0001
COACH000004,2025-05-15 00:00:00,MDW,USR_MDW_010101,Focus on NNM growth actions.,Complete prospecting plan.,Completed,ADV0001
COACH000005,2023-08-19 00:00:00,MDW,USR_MDW_010101,Improve review meeting cadence.,Target 3 high-cash households.,Completed,ADV0002
COACH000006,2025-01-13 00:00:00,DDW,USR_MDW_010101,Prioritize AGP off-track goals.,Complete prospecting plan.,Completed,ADV0002
COACH000007,2024-11-07 00:00:00,DDW,USR_MDW_010101,Increase prospecting follow-ups.,Schedule 5 client reviews.,Completed,ADV0003
COACH000008,2024-01-03 00:00:00,MDW,USR_MDW_010101,Increase prospecting follow-ups.,Complete prospecting plan.,Completed,ADV0003
COACH000009,2023-04-05 00:00:00,DDW,USR_MDW_010101,Prioritize AGP off-track goals.,Schedule 5 client reviews.,Completed,ADV0004
COACH000010,2024-08-11 00:00:00,MDW,USR_MDW_010101,Prioritize AGP off-track goals.,Complete prospecting plan.,Completed,ADV0004
COACH000011,2024-05-01 00:00:00,DDW,USR_MDW_010101,Focus on NNM growth actions.,Complete prospecting plan.,Completed,ADV0005
COACH000012,2023-06-16 00:00:00,MDW,USR_MDW_010101,Focus on NNM growth actions.,Schedule 5 client reviews.,Completed,ADV0005
COACH000013,2023-01-01 00:00:00,MDW,USR_MDW_010101,Prioritize AGP off-track goals.,Target 3 high-cash households.,Completed,ADV0005
COACH000014,2025-12-09 00:00:00,MDW,USR_MDW_010101,Prioritize AGP off-track goals.,Schedule 5 client reviews.,Completed,ADV0006
